,Postal Code,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
84,M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",43.6532057,-79.4000493,1.0,Café,Coffee Shop,Vietnamese Restaurant,Vegetarian / Vegan Restaurant,Grocery Store,Burger Joint,Comfort Food Restaurant,Farmers Market,Bar,Arts & Crafts Store
85,M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.8152522,-79.2845772,0.0,Park,Arts & Crafts Store,Playground,Intersection,Discount Store,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Diner
86,M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",43.68641229999999,-79.4000493,1.0,Coffee Shop,Sushi Restaurant,Supermarket,Bagel Shop,Bank,Fried Chicken Joint,Restaurant,Pizza Place,American Restaurant,Pub
87,M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.6289467,-79.3944199,1.0,Airport Service,Airport Terminal,Boat or Ferry,Sculpture Garden,Airport,Airport Food Court,Airport Gate,Airport Lounge,Rental Car Location,Harbor / Marina
88,M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores",43.6056466,-79.50132070000001,1.0,Coffee Shop,American Restaurant,Seafood Restaurant,Liquor Store,Fast Food Restaurant,Restaurant,Bakery,Mexican Restaurant,Pizza Place,Café
89,M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",43.739416399999996,-79.5884369,1.0,Grocery Store,Pharmacy,Fried Chicken Joint,Sandwich Place,Pizza Place,Fast Food Restaurant,Beer Store,Doner Restaurant,Donut Shop,Dog Run
90,M1W,Scarborough,"Steeles West, L'Amoreaux West",43.799525200000005,-79.3183887,1.0,Fast Food Restaurant,Grocery Store,Pharmacy,Supermarket,Bank,Indian Restaurant,Intersection,Chinese Restaurant,Pizza Place,Sandwich Place
91,M4W,Downtown Toronto,Rosedale,43.6795626,-79.37752940000001,0.0,Park,Trail,Playground,Dance Studio,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store
92,M5W,Downtown Toronto Stn A,Enclave of M5E,43.6464352,-79.37484599999999,1.0,Coffee Shop,Seafood Restaurant,Cocktail Bar,Restaurant,Café,Beer Bar,Bakery,Japanese Restaurant,Italian Restaurant,Cheese Shop
93,M8W,Etobicoke,"Alderwood, Long Branch",43.60241370000001,-79.54348409999999,1.0,Pizza Place,Coffee Shop,Pub,Sandwich Place,Dance Studio,Gym,Skating Rink,Donut Shop,Doner Restaurant,Dog Run
94,M9W,EtobicokeNorthwest,"Clairville, Humberwood, Woodbine Downs, West Humber, Kipling Heights, Rexdale, Elms, Tandridge, Old Rexdale",43.706748299999994,-79.5940544,1.0,Drugstore,Truck Stop,Rental Car Location,Bar,Garden Center,Women's Store,Diner,Dance Studio,Deli / Bodega,Department Store
96,M4X,Downtown Toronto,"St. James Town, Cabbagetown",43.667967,-79.3676753,1.0,Coffee Shop,Restaurant,Chinese Restaurant,Bakery,Pub,Italian Restaurant,Café,Pizza Place,Convenience Store,Park
97,M5X,Downtown Toronto,"First Canadian Place, Underground city",43.6484292,-79.3822802,1.0,Coffee Shop,Café,Hotel,Gym,Restaurant,Japanese Restaurant,American Restaurant,Deli / Bodega,Steakhouse,Asian Restaurant
98,M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.653653600000005,-79.5069436,1.0,River,Smoke Shop,Pool,Diner,Dance Studio,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Women's Store
99,M4Y,Downtown Toronto,Church and Wellesley,43.6658599,-79.38315990000001,1.0,Coffee Shop,Sushi Restaurant,Japanese Restaurant,Gay Bar,Restaurant,Yoga Studio,Fast Food Restaurant,Pub,Hotel,Men's Store
100,M7Y,East Toronto Business,Enclave of M4L,43.6627439,-79.321558,1.0,Auto Workshop,Comic Shop,Light Rail Station,Brewery,Spa,Farmers Market,Fast Food Restaurant,Burrito Place,Restaurant,Pizza Place
101,M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",43.6362579,-79.49850909999999,1.0,Deli / Bodega,Baseball Field,Dog Run,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Women's Store
102,M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",43.6288408,-79.52099940000001,1.0,Grocery Store,Fast Food Restaurant,Bakery,Tanning Salon,Burger Joint,Discount Store,Convenience Store,Hardware Store,Sandwich Place,Gym
